Index_Close,Oil_Close
71.089996,63.9
72.279999,64.13
72.75,64.62
73.160004,65.44
72.919998,66.22
72.139999,64.93
71.620003,63.82
70.269997,62.82
71.860001,65.09
70.290001,66.33
70.940002,65.58
70.760002,64.69
70.32,65.15
70.440002,63.48
70.489998,63.52
69.110001,64.7
69.389999,64.7
70.489998,61.65
70.199997,61.35
68.790001,60.12
68.830002,63.16
68.07,62.87
68.010002,63.14
67.57,62.78
68.400002,60.34
67.699997,60.36
66.760002,61.33
67.419998,63.23
67.010002,64.68
67.040001,63.76
67.900002,63.19
67.239998,60.99
66.410004,60.75
66.129997,60.75
66.739998,61.37
66.5,59.41
66.010002,60.54
65.040001,61.67
65.889999,61.63
66.220001,60.24
65.75,60.14
64.959999,59.03
65.099998,60.31
63.68,61.65
64.260002,61.73
63.049999,59.06
63.549999,57.19
62.380001,54.72
63.279999,55.7
61.810001,57.83
62.360001,57.72
62.150002,57.63
62.810001,57.2
63.380001,57.34
61.84,57.31
61.98,56.38
60.709999,56.42
59.41,55.94
59.360001,56.36
58.43,55.76
58.669998,54.29
57.419998,54.07
56.669998,54.3
58.299999,54.73
59.169998,54.29
58.400002,53.29
57.509998,49.49
56.040001,49.08
55.860001,49.04
55.32,47.8
56.799999,47.54
55.540001,48.3
57.849998,47.33
57.84,48.29
59.080002,48.01
57.709999,47.79
57.279999,47.77
57.43,47
57.400002,45.75
55.75,45.63
54.450001,43.84
52.810001,41.59
49.919998,41.86
49.150002,41.76
50.880001,44.46
53.720001,47.97
55.220001,48.8
56.049999,47.67
53.799999,50.41
54.209999,48.59
54.459999,46.42
53.560001,48.88
54.470001,48.04
53.459999,47.77
53.779999,46.87
52.93,45.87
52.59,45.91
53.310001,49.35
55.040001,48.27
54.799999,47.28
52.779999,47.64
52.950001,46.69
52.200001,48
51.240002,47.06
51.099998,47.28
50.93,46.04
48.439999,47.58
48.419998,47.29
49.529999,47.48
49.400002,46.55
51.869999,49.45
53.959999,51.34
55.48,51.66
56.209999,52.13
57.52,52.08
57.200001,50.95
55.98,48.94
55.23,48.25
55.75,47.87
56.880001,48.96
56.759998,47.51
55.400002,46.93
55.73,46.72
54.68,46.59
55.240002,46.3
55.049999,46.57
53.439999,45.54
52.209999,47.6
53.459999,48.04
53.779999,48
54.470001,47.91
56.009998,48
57.32,46.96
56.869999,47.19
56.630001,46.09
56.189999,45.38
56.009998,46.44
55.869999,44.98
54.200001,44.98
52.93,41.98
53.07,40.28
54.939999,41.28
54.099998,41.45
55.110001,42.22
53.889999,42.49
53.119999,43.7
53.490002,44.38
54.919998,43.56
54.610001,43.55
53.639999,43.07
53.900002,43.73
54.43,42.97
52.599998,41.92
51.599998,42
50.630001,41.44
48.23,39.69
47.93,39.44
48.490002,39.04
48.849998,38.65
46.689999,36.99
46.450001,36.51
47.529999,37.66
47.080002,36.96
45.779999,36.29
44.73,36.76
44.919998,35.34
45.77,35.26
48.43,35.79
48.279999,37.22
46.77,37.08
47.330002,36.85
46.330002,35.65
47.09,36.61
47.810001,36.28
47.650002,35.56
44.700001,33.89
43.650002,33.57
43.419998,31.67
42.029999,30.14
41.419998,29.14
